Id_Buku,Isbn,Judul_Buku,Penulis,Tahun_Publikasi,Total_Ratings,Rataan_Rating,Jumlah_Halaman,Jumlah_Review,Kode_Bahasa,Format_Buku,Ebook,Penerbit
1,439785960,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","[J.K. Rowling, Mary GrandPré]",2006,1977181,4.56,652,26170,eng,Paperback,FALSE,Scholastic Inc.
2,439358078,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","[J.K. Rowling, Mary GrandPré]",2004,2030160,4.49,870,27662,eng,Paperback,FALSE,Scholastic Inc.
3,439554934,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","[J.K. Rowling, Mary GrandPré]",1997,5750685,4.47,320,70459,eng,Hardcover,FALSE,Scholastic Inc
4,439554896,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",[J.K. Rowling],2003,6289,4.41,352,243,eng,Hardcover,FALSE,Scholastic
5,043965548X,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","[J.K. Rowling, Mary GrandPré]",2004,2189333,4.56,435,34225,eng,Mass Market Paperback,FALSE,Scholastic Inc.
6,,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","[J.K. Rowling, Mary GrandPré]",2002,2067027,4.55,734,29709,eng,Paperback,FALSE,Scholastic
8,439682584,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)","[J.K. Rowling, Mary GrandPré]",2004,38836,4.78,2690,154,eng,Paperback,FALSE,Scholastic
9,976540606,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",[W. Frederick Zimmerman],2005,18,3.69,152,1,en-US,Paperback,FALSE,Nimble Books
10,439827604,"Harry Potter Collection (Harry Potter, #1-6)",[J.K. Rowling],2005,27560,4.73,3342,798,eng,Hardcover,FALSE,Scholastic
11,,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",[Douglas Adams],2005,944690,4.22,216,15771,eng,Mass Market Paperback,FALSE,Del Rey Books
12,517226952,"The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy, #1-5)",[Douglas Adams],2005,3607,4.38,815,252,eng,Leather Bound,FALSE,Gramercy Books
13,345453743,"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",[Douglas Adams],2002,242702,4.38,815,3966,eng,Paperback,FALSE,Del Rey Books
14,1400052920,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",[Douglas Adams],2004,4549,4.22,215,425,eng,Hardcover,FALSE,Crown
16,739322206,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)","[Douglas Adams, Stephen Fry]",2005,1230,4.22,6,251,eng,Audio CD,FALSE,Random House Audio
18,517149257,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy #1-5),[Douglas Adams],1996,2827,4.38,815,190,en-US,Hardcover,FALSE,Wings Books
21,076790818X,A Short History of Nearly Everything,[Bill Bryson],2004,233629,4.2,544,8951,eng,Paperback,FALSE,Broadway Books
22,767915062,Bill Bryson's African Diary,[Bill Bryson],2002,7045,3.43,55,473,eng,Hardcover,FALSE,Broadway Books
23,767910435,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,[Bill Bryson],2004,2028,3.88,256,123,eng,Paperback,FALSE,Broadway Books
24,767903862,In a Sunburned Country,[Bill Bryson],2001,69306,4.07,335,4102,eng,Paperback,FALSE,Broadway Books
25,076790382X,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,[Bill Bryson],2000,47943,3.9,304,2162,eng,Paperback,FALSE,Broadway Books
26,60920084,The Lost Continent: Travels in Small Town America,[Bill Bryson],1990,44204,3.83,299,2177,en-US,Paperback,FALSE,William Morrow Paperbacks
27,380713802,Neither Here nor There: Travels in Europe,[Bill Bryson],1993,46921,3.87,254,2157,eng,Paperback,FALSE,William Morrow Paperbacks
28,380727501,Notes from a Small Island,[Bill Bryson],1997,77467,3.92,324,3182,eng,Paperback,FALSE,William Morrow Paperbacks
29,380715430,The Mother Tongue: English and How It Got That Way,[Bill Bryson],1991,27091,3.94,270,2013,eng,Paperback,FALSE,William Morrow Paperbacks
30,345538374,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,[J.R.R. Tolkien],2012,98519,4.59,1728,1530,eng,Mass Market Paperback,FALSE,Ballantine Books
31,618517650,"The Lord of the Rings (The Lord of the Rings, #1-3)",[J.R.R. Tolkien],2004,1682,4.49,1184,88,eng,Hardcover,FALSE,Houghton Mifflin Harcourt
32,618346244,"The Lord of the Rings (The Lord of the Rings, #1-3)",[J.R.R. Tolkien],,2819,4.49,1137,130,eng,Paperback,FALSE,
33,,"The Lord of the Rings (The Lord of the Rings, #1-3)",[J.R.R. Tolkien],2005,446392,4.49,1216,7979,eng,Paperback,FALSE,Houghton Mifflin Harcourt
34,618346252,"The Fellowship of the Ring (The Lord of the Rings, #1)",[J.R.R. Tolkien],2003,2036469,4.35,398,12899,eng,Paperback,FALSE,Houghton Mifflin Harcourt
35,618260587,"The Lord of the Rings (The Lord of the Rings, #1-3)","[J.R.R. Tolkien, Alan  Lee]",2002,1608,4.49,1216,139,en-US,,FALSE,Houghton Mifflin Harcourt
36,618391002,The Lord of the Rings: Weapons and Warfare,"[Chris   Smith, Christopher  Lee, Richard Taylor]",2003,18943,4.53,218,45,eng,Paperback,FALSE,Houghton Mifflin Harcourt
37,618510826,The Lord of the Rings: Complete Visual Companion,[Jude Fisher],2004,349,4.51,224,6,eng,Paperback,FALSE,Houghton Mifflin Harcourt
38,618153977,The Lord of the Rings Box Set,[J.R.R. Tolkien],2001,215,4.49,1223,19,eng,,FALSE,
40,193337201X,"Cooking with Fernet Branca (Gerald Samper, #1)",[James Hamilton-Paterson],2005,1229,3.61,288,201,eng,Paperback,FALSE,Europa
45,097669400X,Agile Web Development with Rails: A Pragmatic Guide,"[Dave Thomas, David Heinemeier Hansson, Leon Breedt, Mike Clark, Thomas  Fuchs, Andreas  Schwarz]",2005,1328,3.86,558,59,eng,Paperback,FALSE,Pragmatic Bookshelf
46,1932394745,Ruby Quickly: Ruby and Rails for the Real World,[Mark   Watson],2006,5,3.4,360,0,,Paperback,FALSE,Manning Publications
50,689840926,"Hatchet (Brian's Saga, #1)",[Gary Paulsen],2000,257520,3.71,208,11453,eng,Hardcover,FALSE,Atheneum Books for Young Readers: Richard Jackson Books
51,1557344493,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom","[Donna Ickes, Edward Sciranko, Keith Vasconcelles]",1994,35,3.97,48,2,eng,Paperback,FALSE,Teacher Created Resources
